turfID,site,year,old,new,special,cover1,special2,cover2
A1-OTC,A,2015,Kob.pgy,Fes.spp,,,,
A2-O,A,2015,Kob.pgy,Fes.spp,,,,
A2-OTC,A,2015,Kob.pgy,Poa.spp,,,,
A4-1,M,2015,Mic.sik,Cli.pol,,,,
A4-1,M,2015,Pru.his,Cli.pol,,,,
A4-2,H,2015,Jun.leu,Ger.pyl,,,,
A4-O,H,2015,Kob.pgy,Fes.spp,,,,
A7-1,M,2015,Mic.sik,Cli.pol,,,,
A7-O,A,2015,Kob.pgy,Fes.spp,,,,
A7-O,A,2015,Pol.mac,Pol.cya,,,,
H1-C,H,2015,Poa.spp,Fes.spp,,,,
H1-C,H,2015,Sau.pac,Sau.cet,,,,
H1-O,H,2015,Sau.pac,Sau.cet,,,,
H3-C,H,2015,Sau.pac,Sau.cet,,,,
H3-OTC,H,2015,Sib.pen,Par.spp,,,,
H3-OTC,H,2015,Sau.pac,Sau.cet,,,,
H4-1,A,2015,Oxy.yun,Hed.alg,,,,
H4-1,A,2015,Kob.pyg,Fes.spp,,,,
H4-C,H,2015,Cya.inc,And.min,,,,
H4-C,H,2015,Kob.pgy,Fes.spp,,,,
H4-O,H,2015,Poa.spp,Fes.spp,,,,
H5-1,A,2015,Pol.cir,Gal.spa,,,,
H5-O,H,2015,Sor.hoo,Sau.pac,,,,
H6-1,A,2015,Sau.pac,Sau.cet,,,,
H7-1,A,2015,Kob.pgy,Fes.spp,,,,
H7-1,A,2015,Sau.pac,Sau.cet,,,,
H7-1,A,2015,Par.spp,Sib.pen,,,,
H7-1,A,2015,Sib.pen,Par.spp,,,,
H7-3,L,2015,Sib.pen,Par.spp,,,,
L3-O,L,2015,Poa.spp,Fes.spp,,,,
L5-4,H,2015,Agr.ner,Poa.spp,,,,
L5-O,L,2015,Agr.ner,Poa.spp,,,,
L7-C,L,2015,Agr.ner,Poa.spp,,,,
L7-OTC,L,2015,Jun.set,Jun.pri,,,,
M1-2,A,2015,Poa.spp,Fes.spp,,,,
M1-OTC,M,2015,Pru.his,Cli.pol,,,,
M2-1,L,2015,Pru.his,Epi.fan,,,,
M2-1,L,2015,You.rac,Sau.cet,,,,
M4-1,L,2015,Lig.sca,Art.fla,,,,
M5-C,M,2015,Mic.sik,Cli.pol,,,,
M6-1,L,2015,Pru.his,Cli.pol,,,,
M7-C,M,2015,Pru.his,Cli.pol,,,,
M7-O,M,2015,Pru.his,Cli.pol,,,,
M7-OTC,M,2015,Nei.aff,Spi.jap,,,,
A1-C,A,2016,Par.spp,Par.lat,,,,
A1-C,A,2016,Hal.cor,Swe.mac,,,,
A1-O,A,2016,Kob.pyg,,,,,
