Date,Site,Elevation,Taxon_TNRS_corrected,Taxon_written_on_envelopes,Individual_Number,Leaf_Number,Leaf_Area_cm2,Wet_Mass_g,Wet_Mass_WeighingScale,Dry_Mass_g,Dry_Mass_WeighingScale,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Leaf_Thickness_4_mm,Leaf_Thickness_5_mm,Leaf_Thickness_6_mm,Leaf_Thickness_Ave_mm,SLA_cm2-g,LDMC,notes
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,1,2,4.672,0.0136,1,0.0079,1,0.211,,,,,,,591.3924051,0.580882353,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,1,3,3.6552,0.0092,1,0.0029,1,0.217,,,,,,,1260.413793,0.315217391,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,1,4,3.7926,0.0065,1,0.0029,1,0.157,,,,,,,1307.793103,0.446153846,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,1,5,5.4348,0.0291,1,0.0187,1,0.281,,,,,,,290.631016,0.642611684,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,2,1,4.1602,0.025,2,0.005,1,0.218,0.271,0.227,,,,,832.04,0.2,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,2,2,5.5629,0.031,2,0.013,1,0.364,0.411,0.365,,,,,427.9153846,0.419354839,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,2,3,3.9991,0.042,2,0.013,1,0.671,0.639,0.696,,,,,307.6230769,0.30952381,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,2,4,6.1634,0.025,2,0.014,1,0.244,0.149,0.132,,,,,440.2428571,0.56,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,2,5,5.4071,0.035,2,0.014,1,0.293,0.384,0.351,,,,,386.2214286,0.4,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,3,1,4.8138,0.021,2,0.012,1,0.183,0.123,0.215,,,,,401.15,0.571428571,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,3,2,3.6891,0.007,2,0.0031,1,0.268,0.33,,,,,,1190.032258,0.442857143,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,3,3,4.9067,0.018,2,0.011,1,0.174,0.132,0.182,,,,,446.0636364,0.611111111,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,3,4,5.7718,0.03,2,0.014,1,0.338,0.264,0.258,,,,,412.2714286,0.466666667,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,3,5,3.7261,0.007,2,0.003,1,0.177,0.161,,,,,,1242.033333,0.428571429,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,4,1,2.6545,0.0066,1,0.0007,1,0.256,,,,,,,3792.142857,0.106060606,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,4,2,1.9482,0.0051,1,0.0021,1,0.318,0.154,,,,,,927.7142857,0.411764706,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,4,3,3.171,0.0109,1,0.0047,1,0.269,,,,,,,674.6808511,0.431192661,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,4,4,3.4957,0.0155,1,0.0056,1,0.235,,,,,,,624.2321429,0.361290323,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,5,1,5.2042,0.0315,1,0.014,1,0.407,0.285,0.388,,,,,371.7285714,0.444444444,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,5,2,4.8973,0.0196,1,0.01,1,0.172,0.193,0.198,,,,,489.73,0.510204082,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,5,3,3.0717,0.13,1,0.004,1,0.178,0.293,,,,,,767.925,0.030769231,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,5,4,4.5711,0.0253,1,0.012,1,0.235,0.253,0.335,,,,,380.925,0.4743083,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,5,5,5.1586,0.0325,1,0.014,1,0.223,0.235,0.21,0.194,,,,368.4714286,0.430769231,
20150820,L,3000,Corydalis sp1,Corydalis_sp1,1,1,3.5644,0.0131,1,0.0028,1,0.525,,,,,,,1273,0.213740458,
20150820,L,3000,Corydalis sp1,Corydalis_sp1,1,2,3.5414,0.0063,1,0.002,1,0.258,,,,,,,1770.7,0.317460317,
20150820,L,3000,Corydalis sp1,Corydalis_sp1,1,3,2.7414,0.0031,1,0.0012,1,0.307,,,,,,,2284.5,0.387096774,
20150820,L,3000,Corydalis sp1,Corydalis_sp1,1,4,3.0813,0.0015,1,0.0003,1,0.362,,,,,,,10271,0.2,
20150820,L,3000,Corydalis sp1,Corydalis_sp1,1,5,3.1157,0.0015,1,0.0004,1,0.194,,,,,,,7789.25,0.266666667,
20150820,L,3000,Corydalis sp1,Corydalis_sp1,2,1,3.6849,0.0087,1,0.0019,1,0.291,,,,,,,1939.421053,0.218390805,
20150820,L,3000,Corydalis sp1,Corydalis_sp1,2,2,3.0135,0.0009,1,0.0003,1,0.399,,,,,,,10045,0.333333333,
